"item_id","source_platform","source_platform_url","id","code","is_paid_partnership","original_height","original_width","comment_count","counts_disabled","like_count","product_type","media_type","carousel_media_count","has_audio","caption_text","username","profile_pic_url","full_name"
"3537685496669487478_5511100943","instagram.com","https://www.instagram.com/joebiden/",3113,"DEYYjc8CUF2",FALSE,1080,1080,2676,FALSE,117075,"clips",2,NA,TRUE,"I am proud to have secured a historic 235 judicial confirmations during my administration. 

These judges will be independent, fair, and impartial—respecting the rule of law and upholding the Constitution.","joebiden","https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/120096367_362802168194155_6837554235688692802_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QGrCqJvEn9EjRGlxWh-gmPO--D4U72H6bCsNE91wF8INKpFUm9vu3Nmpebc3EIM0eU&_nc_ohc=7Zcq9ZszSOsQ7kNvwFIy2GH&_nc_gid=eUWPEqyGDT8OvrwCcBM0tQ&edm=APoiHPcBAAAA&ccb=7-5&oh=00_AfKubgsZxZ0D3JCg3_fz13L69YFDizrxT44yLbq9BTumGA&oe=683BCC86&_nc_sid=22de04","Joe Biden"
"3537501041130450626_5511100943","instagram.com","https://www.instagram.com/joebiden/",3114,"DEXunRVJ67C",FALSE,612,612,4041,FALSE,277325,"carousel_container",8,2,NA,"As the 119th Congress convenes today, I’m reflecting on my time in the Senate with a few throwbacks.","joebiden","https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/120096367_362802168194155_6837554235688692802_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QGrCqJvEn9EjRGlxWh-gmPO--D4U72H6bCsNE91wF8INKpFUm9vu3Nmpebc3EIM0eU&_nc_ohc=7Zcq9ZszSOsQ7kNvwFIy2GH&_nc_gid=eUWPEqyGDT8OvrwCcBM0tQ&edm=APoiHPcBAAAA&ccb=7-5&oh=00_AfKubgsZxZ0D3JCg3_fz13L69YFDizrxT44yLbq9BTumGA&oe=683BCC86&_nc_sid=22de04","Joe Biden"
"3533245162895261420_5511100943","instagram.com","https://www.instagram.com/joebiden/",3115,"DEIm8F2vT7s",FALSE,612,612,4552,FALSE,129944,"carousel_container",8,8,NA,"Getting to show up for the American people every day is the best part of my job. Here’s a look back at this past year.","joebiden","https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/120096367_362802168194155_6837554235688692802_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QGrCqJvEn9EjRGlxWh-gmPO--D4U72H6bCsNE91wF8INKpFUm9vu3Nmpebc3EIM0eU&_nc_ohc=7Zcq9ZszSOsQ7kNvwFIy2GH&_nc_gid=eUWPEqyGDT8OvrwCcBM0tQ&edm=APoiHPcBAAAA&ccb=7-5&oh=00_AfKubgsZxZ0D3JCg3_fz13L69YFDizrxT44yLbq9BTumGA&oe=683BCC86&_nc_sid=22de04","Joe Biden"
"3532441661796234077_5511100943","instagram.com","https://www.instagram.com/joebiden/",3116,"DEFwPnJJ7Nd",FALSE,1440,1440,1281,FALSE,29392,"feed",1,NA,NA,"I’ve always said that every new small business is an act of hope. 

That’s 20 million acts of hope by the American people.","joebiden","https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/120096367_362802168194155_6837554235688692802_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QGrCqJvEn9EjRGlxWh-gmPO--D4U72H6bCsNE91wF8INKpFUm9vu3Nmpebc3EIM0eU&_nc_ohc=7Zcq9ZszSOsQ7kNvwFIy2GH&_nc_gid=eUWPEqyGDT8OvrwCcBM0tQ&edm=APoiHPcBAAAA&ccb=7-5&oh=00_AfKubgsZxZ0D3JCg3_fz13L69YFDizrxT44yLbq9BTumGA&oe=683BCC86&_nc_sid=22de04","Joe Biden"
"3531710857549797712_5511100943","instagram.com","https://www.instagram.com/joebiden/",3117,"DEDKFAppVlQ",FALSE,1350,1080,825,FALSE,22429,"feed",1,NA,NA,"Jill and I wish all those celebrating a very happy Kwanzaa—one blessed with peace, hope, and light.","joebiden","https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/120096367_362802168194155_6837554235688692802_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QGrCqJvEn9EjRGlxWh-gmPO--D4U72H6bCsNE91wF8INKpFUm9vu3Nmpebc3EIM0eU&_nc_ohc=7Zcq9ZszSOsQ7kNvwFIy2GH&_nc_gid=eUWPEqyGDT8OvrwCcBM0tQ&edm=APoiHPcBAAAA&ccb=7-5&oh=00_AfKubgsZxZ0D3JCg3_fz13L69YFDizrxT44yLbq9BTumGA&oe=683BCC86&_nc_sid=22de04","Joe Biden"
"3531103901705498524_5511100943","instagram.com","https://www.instagram.com/joebiden/",3118,"DEBAEo-Ju-c",FALSE,1350,1080,1282,FALSE,68737,"feed",1,NA,NA,"Hanukkah is a timeless story of miracles. 

Jill and I wish you and your loved ones a happy Hanukkah!","joebiden","https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/120096367_362802168194155_6837554235688692802_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QGrCqJvEn9EjRGlxWh-gmPO--D4U72H6bCsNE91wF8INKpFUm9vu3Nmpebc3EIM0eU&_nc_ohc=7Zcq9ZszSOsQ7kNvwFIy2GH&_nc_gid=eUWPEqyGDT8OvrwCcBM0tQ&edm=APoiHPcBAAAA&ccb=7-5&oh=00_AfKubgsZxZ0D3JCg3_fz13L69YFDizrxT44yLbq9BTumGA&oe=683BCC86&_nc_sid=22de04","Joe Biden"
"3530897038735529159_5511100943","instagram.com","https://www.instagram.com/joebiden/",3119,"DEARCY0T1TH",FALSE,1350,1080,1941,FALSE,91298,"feed",1,NA,NA,"Merry Christmas, everyone!","joebiden","https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/120096367_362802168194155_6837554235688692802_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QGrCqJvEn9EjRGlxWh-gmPO--D4U72H6bCsNE91wF8INKpFUm9vu3Nmpebc3EIM0eU&_nc_ohc=7Zcq9ZszSOsQ7kNvwFIy2GH&_nc_gid=eUWPEqyGDT8OvrwCcBM0tQ&edm=APoiHPcBAAAA&ccb=7-5&oh=00_AfKubgsZxZ0D3JCg3_fz13L69YFDizrxT44yLbq9BTumGA&oe=683BCC86&_nc_sid=22de04","Joe Biden"
"3530235299828274069_5511100943","instagram.com","https://www.instagram.com/joebiden/",3120,"DD96k0bzxOV",FALSE,1333,1333,3375,FALSE,210819,"feed",1,NA,NA,"Jill and I hold a special place in our hearts for the brave men and women in uniform who defend our nation, many of whom are away from their families this holiday season.

Wishing you and your loved ones a safe Christmas Eve.","joebiden","https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/120096367_362802168194155_6837554235688692802_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QGrCqJvEn9EjRGlxWh-gmPO--D4U72H6bCsNE91wF8INKpFUm9vu3Nmpebc3EIM0eU&_nc_ohc=7Zcq9ZszSOsQ7kNvwFIy2GH&_nc_gid=eUWPEqyGDT8OvrwCcBM0tQ&edm=APoiHPcBAAAA&ccb=7-5&oh=00_AfKubgsZxZ0D3JCg3_fz13L69YFDizrxT44yLbq9BTumGA&oe=683BCC86&_nc_sid=22de04","Joe Biden"
"3529541167008412523_5511100943","instagram.com","https://www.instagram.com/joebiden/",3121,"DD7cv23p3Nr",FALSE,1080,1080,1177,FALSE,54738,"feed",1,NA,NA,"This holiday season, Jill and I are thinking of the brave first responders and frontline workers who keep our communities and families safe.

Our nation is stronger because of them.","joebiden","https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/120096367_362802168194155_6837554235688692802_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QGrCqJvEn9EjRGlxWh-gmPO--D4U72H6bCsNE91wF8INKpFUm9vu3Nmpebc3EIM0eU&_nc_ohc=7Zcq9ZszSOsQ7kNvwFIy2GH&_nc_gid=eUWPEqyGDT8OvrwCcBM0tQ&edm=APoiHPcBAAAA&ccb=7-5&oh=00_AfKubgsZxZ0D3JCg3_fz13L69YFDizrxT44yLbq9BTumGA&oe=683BCC86&_nc_sid=22de04","Joe Biden"
"3528931063095472836_5511100943","instagram.com","https://www.instagram.com/joebiden/",3122,"DD5SBrUpbLE",FALSE,1800,1440,4343,FALSE,86294,"feed",1,NA,NA,"This has been a hard-fought recovery, but we have made progress for working families.","joebiden","https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/120096367_362802168194155_6837554235688692802_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QGrCqJvEn9EjRGlxWh-gmPO--D4U72H6bCsNE91wF8INKpFUm9vu3Nmpebc3EIM0eU&_nc_ohc=7Zcq9ZszSOsQ7kNvwFIy2GH&_nc_gid=eUWPEqyGDT8OvrwCcBM0tQ&edm=APoiHPcBAAAA&ccb=7-5&oh=00_AfKubgsZxZ0D3JCg3_fz13L69YFDizrxT44yLbq9BTumGA&oe=683BCC86&_nc_sid=22de04","Joe Biden"
