"item_id","source_platform","source_platform_url","id","code","is_paid_partnership","original_height","original_width","comment_count","counts_disabled","like_count","product_type","media_type","carousel_media_count","has_audio","caption_text","username","profile_pic_url","full_name"
"3641235029520733135_347696668","instagram.com","https://www.instagram.com/realdonaldtrump/",1313,"DKIQ_eeStPP",FALSE,1080,1350,1967,FALSE,144258,"clips",2,NA,TRUE,NA,"realdonaldtrump","https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/343276689_801823474149940_2996871766977206771_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QErGGSkgBO9MNGcZmTvRloKH5a5XXzM_wM11aaDgnjofP5w8vTXM_yBZpWUN0xPLZ0&_nc_ohc=hPiAZl8KlecQ7kNvwH1RKj8&_nc_gid=3OPhxMhxWUltRXDJAr37BQ&edm=AP4sbd4BAAAA&ccb=7-5&oh=00_AfILYwqqsD0-eC2HJvQ3fuo08MB9R2Lw_-QtguTE3aqdog&oe=683BDA51&_nc_sid=7a9f4b","President Donald J. Trump"
"3641232798755017023_347696668","instagram.com","https://www.instagram.com/realdonaldtrump/",1314,"DKIQfA6S1E_",FALSE,1080,1080,2011,FALSE,49123,"clips",2,NA,TRUE,NA,"realdonaldtrump","https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/343276689_801823474149940_2996871766977206771_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QErGGSkgBO9MNGcZmTvRloKH5a5XXzM_wM11aaDgnjofP5w8vTXM_yBZpWUN0xPLZ0&_nc_ohc=hPiAZl8KlecQ7kNvwH1RKj8&_nc_gid=3OPhxMhxWUltRXDJAr37BQ&edm=AP4sbd4BAAAA&ccb=7-5&oh=00_AfILYwqqsD0-eC2HJvQ3fuo08MB9R2Lw_-QtguTE3aqdog&oe=683BDA51&_nc_sid=7a9f4b","President Donald J. Trump"
"3641101526450668194_347696668","instagram.com","https://www.instagram.com/realdonaldtrump/",1315,"DKHyowDOYKi",FALSE,1440,1440,2615,FALSE,367457,"feed",1,NA,NA,NA,"realdonaldtrump","https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/343276689_801823474149940_2996871766977206771_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QErGGSkgBO9MNGcZmTvRloKH5a5XXzM_wM11aaDgnjofP5w8vTXM_yBZpWUN0xPLZ0&_nc_ohc=hPiAZl8KlecQ7kNvwH1RKj8&_nc_gid=3OPhxMhxWUltRXDJAr37BQ&edm=AP4sbd4BAAAA&ccb=7-5&oh=00_AfILYwqqsD0-eC2HJvQ3fuo08MB9R2Lw_-QtguTE3aqdog&oe=683BDA51&_nc_sid=7a9f4b","President Donald J. Trump"
"3640590610227525607_347696668","instagram.com","https://www.instagram.com/realdonaldtrump/",1316,"DKF-d8PO_fn",FALSE,1006,1920,2874,FALSE,136448,"clips",2,NA,TRUE,NA,"realdonaldtrump","https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/343276689_801823474149940_2996871766977206771_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QErGGSkgBO9MNGcZmTvRloKH5a5XXzM_wM11aaDgnjofP5w8vTXM_yBZpWUN0xPLZ0&_nc_ohc=hPiAZl8KlecQ7kNvwH1RKj8&_nc_gid=3OPhxMhxWUltRXDJAr37BQ&edm=AP4sbd4BAAAA&ccb=7-5&oh=00_AfILYwqqsD0-eC2HJvQ3fuo08MB9R2Lw_-QtguTE3aqdog&oe=683BDA51&_nc_sid=7a9f4b","President Donald J. Trump"
"3639810034403526017_347696668","instagram.com","https://www.instagram.com/realdonaldtrump/",1317,"DKDM_EWhkWB",FALSE,612,612,5391,FALSE,498829,"carousel_container",8,9,NA,NA,"realdonaldtrump","https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/343276689_801823474149940_2996871766977206771_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QErGGSkgBO9MNGcZmTvRloKH5a5XXzM_wM11aaDgnjofP5w8vTXM_yBZpWUN0xPLZ0&_nc_ohc=hPiAZl8KlecQ7kNvwH1RKj8&_nc_gid=3OPhxMhxWUltRXDJAr37BQ&edm=AP4sbd4BAAAA&ccb=7-5&oh=00_AfILYwqqsD0-eC2HJvQ3fuo08MB9R2Lw_-QtguTE3aqdog&oe=683BDA51&_nc_sid=7a9f4b","President Donald J. Trump"
"3638321004713402112_347696668","instagram.com","https://www.instagram.com/realdonaldtrump/",1318,"DJ96a1YyN8A",FALSE,720,1364,3074,FALSE,70320,"clips",2,NA,TRUE,NA,"realdonaldtrump","https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/343276689_801823474149940_2996871766977206771_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QErGGSkgBO9MNGcZmTvRloKH5a5XXzM_wM11aaDgnjofP5w8vTXM_yBZpWUN0xPLZ0&_nc_ohc=hPiAZl8KlecQ7kNvwH1RKj8&_nc_gid=3OPhxMhxWUltRXDJAr37BQ&edm=AP4sbd4BAAAA&ccb=7-5&oh=00_AfILYwqqsD0-eC2HJvQ3fuo08MB9R2Lw_-QtguTE3aqdog&oe=683BDA51&_nc_sid=7a9f4b","President Donald J. Trump"
"3638252546691738058_347696668","instagram.com","https://www.instagram.com/realdonaldtrump/",1319,"DJ9q2o4uKnK",FALSE,1290,1290,5020,FALSE,146434,"feed",1,NA,NA,NA,"realdonaldtrump","https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/343276689_801823474149940_2996871766977206771_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QErGGSkgBO9MNGcZmTvRloKH5a5XXzM_wM11aaDgnjofP5w8vTXM_yBZpWUN0xPLZ0&_nc_ohc=hPiAZl8KlecQ7kNvwH1RKj8&_nc_gid=3OPhxMhxWUltRXDJAr37BQ&edm=AP4sbd4BAAAA&ccb=7-5&oh=00_AfILYwqqsD0-eC2HJvQ3fuo08MB9R2Lw_-QtguTE3aqdog&oe=683BDA51&_nc_sid=7a9f4b","President Donald J. Trump"
"3637689905892069316_347696668","instagram.com","https://www.instagram.com/realdonaldtrump/",1320,"DJ7q7IzuI_E",FALSE,1080,1918,3258,FALSE,70844,"clips",2,NA,TRUE,"The Golden Dome Missile Defense Shield!","realdonaldtrump","https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/343276689_801823474149940_2996871766977206771_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QErGGSkgBO9MNGcZmTvRloKH5a5XXzM_wM11aaDgnjofP5w8vTXM_yBZpWUN0xPLZ0&_nc_ohc=hPiAZl8KlecQ7kNvwH1RKj8&_nc_gid=3OPhxMhxWUltRXDJAr37BQ&edm=AP4sbd4BAAAA&ccb=7-5&oh=00_AfILYwqqsD0-eC2HJvQ3fuo08MB9R2Lw_-QtguTE3aqdog&oe=683BDA51&_nc_sid=7a9f4b","President Donald J. Trump"
"3637687212226157437_347696668","instagram.com","https://www.instagram.com/realdonaldtrump/",1321,"DJ7qT8IuJt9",FALSE,1745,1440,4402,FALSE,156976,"feed",1,NA,NA,NA,"realdonaldtrump","https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/343276689_801823474149940_2996871766977206771_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QErGGSkgBO9MNGcZmTvRloKH5a5XXzM_wM11aaDgnjofP5w8vTXM_yBZpWUN0xPLZ0&_nc_ohc=hPiAZl8KlecQ7kNvwH1RKj8&_nc_gid=3OPhxMhxWUltRXDJAr37BQ&edm=AP4sbd4BAAAA&ccb=7-5&oh=00_AfILYwqqsD0-eC2HJvQ3fuo08MB9R2Lw_-QtguTE3aqdog&oe=683BDA51&_nc_sid=7a9f4b","President Donald J. Trump"
"3637436414766384303_347696668","instagram.com","https://www.instagram.com/realdonaldtrump/",1322,"DJ6xSWzOISv",FALSE,938,1080,11143,FALSE,305118,"clips",2,NA,TRUE,NA,"realdonaldtrump","https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/343276689_801823474149940_2996871766977206771_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QErGGSkgBO9MNGcZmTvRloKH5a5XXzM_wM11aaDgnjofP5w8vTXM_yBZpWUN0xPLZ0&_nc_ohc=hPiAZl8KlecQ7kNvwH1RKj8&_nc_gid=3OPhxMhxWUltRXDJAr37BQ&edm=AP4sbd4BAAAA&ccb=7-5&oh=00_AfILYwqqsD0-eC2HJvQ3fuo08MB9R2Lw_-QtguTE3aqdog&oe=683BDA51&_nc_sid=7a9f4b","President Donald J. Trump"
